crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,state,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,district,rf,salinity
Pigeonpea,0.43000001,0.67000002,0,143,2017,10,rajasthan,61795,20378,599,bharatpur,91.813998204,1.399002977
Pigeonpea,0.02,0.029999999,0,144,2017,10,rajasthan,22307,5226,239,bhilwara,104.436000206,49.76963879
Pigeonpea,NA,NA,NA,145,2017,10,rajasthan,22487,10645,232,bikaner,55.874001799999995,1.039775124
Pigeonpea,NA,NA,NA,146,2017,10,rajasthan,40163,12315,382,bundi,100.891999802,0.45908667
Pigeonpea,0.1,0.14,0,147,2017,10,rajasthan,45171,17017,1479,chittorgarh,112.636001206,0.395399888
Pigeonpea,NA,NA,NA,148,2017,10,rajasthan,8065,1810,39,churu,67.5140006,1.570908906
Pigeonpea,1.3200001,1.02,0,149,2017,10,rajasthan,6142,858,73,dungarpur,12.636000339999999,0
Pigeonpea,0.13,0.19,0.13,150,2017,10,rajasthan,137173,58094,5526,ganganagar,86.988002,2.28452903
Pigeonpea,0.090000004,0.059999999,0,151,2017,10,rajasthan,60575,22655,1213,jaipur,68.215999,11.70924672
Pigeonpea,NA,NA,NA,152,2017,10,rajasthan,7838,3190,82,jaisalmer,47.014000206000006,0.69657652
Pigeonpea,NA,NA,NA,153,2017,10,rajasthan,29682,6176,1501,jalore,270.376000398,23.49586326
Pigeonpea,0.14,0.12,0,154,2017,10,rajasthan,30476,14084,346,jhalawar,139.684000006,0.072560402
Pigeonpea,NA,NA,NA,156,2017,10,rajasthan,35672,17058,1783,jodhpur,52.121999606,1.93776392
Pigeonpea,0.02,0.0099999998,0,157,2017,10,rajasthan,82586,36328,1863,kota,106.835998202,0.214777129
Pigeonpea,NA,NA,NA,158,2017,10,rajasthan,24470,13532,1394,nagaur,65.2760008,2.442048603
Pigeonpea,0.059999999,0.029999999,0,159,2017,10,rajasthan,13748,11119,604,pali,117.970001606,53.93162343
Pigeonpea,0.25,0.25,0.02,160,2017,10,rajasthan,39972,12592,332,swami madhopur,NA,NA
Pigeonpea,NA,NA,NA,161,2017,10,rajasthan,15594,5243,286,sikar,61.001999,3.325295158
Pigeonpea,NA,NA,NA,162,2017,10,rajasthan,14531,4303,406,sirohi,269.4599998,7.913595042
Pigeonpea,NA,NA,NA,163,2017,10,rajasthan,22553,9945,209,tonk,77.9079998,2.490306499
Pigeonpea,2.71,3.21,0,164,2017,10,rajasthan,34494,10333,2659,udaipur,60.822002401999995,0.189476333
Pigeonpea,NA,NA,NA,165,2017,9,punjab,87626,16847,2293,gurdaspur,2.7059999998,0.115601796
Pigeonpea,0.5,0.5,0.5,166,2017,9,punjab,137546,37153,5623,amritsar,4.07400019996,2.620032594
Pigeonpea,NA,NA,NA,167,2017,9,punjab,43368,6625,2281,kapurthala,8.0319999998,13.36971351
Pigeonpea,0.30000001,0.30000001,0.30000001,168,2017,9,punjab,84815,29066,4517,jalandhar,7.343999597960001,0
Pigeonpea,NA,NA,NA,169,2017,9,punjab,55772,21295,3397,hoshiarpur,5.08999999576,5.393188916
Pigeonpea,0.1,0.1,0.1,170,2017,9,punjab,27850,8908,2929,roopnagar / ropar,NA,NA
Pigeonpea,0.60000002,0.60000002,0.60000002,171,2017,9,punjab,167082,26004,2370,ludhiana,1.2599999779600002,0.650642988
Pigeonpea,0.60000002,0.69999999,0.60000002,172,2017,9,punjab,234282,61477,8041,ferozpur,NA,NA
Pigeonpea,0.1,0.1,0.1,174,2017,9,punjab,187996,33795,9297,bhatinda,NA,NA
Pigeonpea,0.30000001,0.30000001,0.30000001,175,2017,9,punjab,139068,36351,4210,sangrur,0.5499999999199999,0.4048583
Pigeonpea,0.1,0.1,0.1,176,2017,9,punjab,158811,21365,6382,patiala,2.2170199723999997,3.11327832
Pigeonpea,NA,NA,NA,177,2017,4,haryana,294303,93574,14466,hissar,NA,NA
Pigeonpea,NA,NA,NA,180,2017,4,haryana,86086,26452,4543,gurgaon,NA,NA
Pigeonpea,NA,NA,NA,181,2017,4,haryana,100027,22141,4945,jind,61.704208,62.86878792
Pigeonpea,NA,NA,NA,182,2017,4,haryana,69467,28506,3232,mahendragarh / narnaul,NA,NA
Pigeonpea,NA,NA,NA,183,2017,4,haryana,110935,24676,5835,ambala,92.145477,0
Pigeonpea,NA,NA,NA,184,2017,4,haryana,269227,53753,9657,karnal,79.176109,96.5954103
Pigeonpea,NA,NA,NA,186,2017,4,haryana,119225,31168,3532,rohtak,66.206429,23.60847211
Pigeonpea,NA,NA,NA,189,2017,12,uttar pradesh,74705,22791,3929,saharanpur,118.458,26.1007569
Pigeonpea,0.059999999,0.039999999,0.021,190,2017,12,uttar pradesh,61628,22361,4033,muzaffarnagar,89.6640006,0
Pigeonpea,5.5100002,9.1499996,2.4779999,191,2017,12,uttar pradesh,126304,42423,8036,meerut,87.90199940000001,0
Pigeonpea,6.5999999,5.8499999,6.5999999,192,2017,12,uttar pradesh,75318,29161,6014,buland shahar,NA,NA
Pigeonpea,10.43,7.9499998,10.43,194,2017,12,uttar pradesh,147208,53176,14941,aligarh,95.96799800000001,63.80477885
Pigeonpea,1.28,0.94999999,1.28,195,2017,12,uttar pradesh,79175,27861,4306,mathura,61.1299988,52.17909284
Pigeonpea,1.39,1.72,0.59600002,196,2017,12,uttar pradesh,136016,50349,22334,agra,49.1939996,17.90256009
Pigeonpea,1.4400001,1.78,0.70499998,197,2017,12,uttar pradesh,83825,33051,4412,mainpuri,109.7359982,83.43302191
Pigeonpea,4.1599998,3.1600001,2.931,198,2017,12,uttar pradesh,71089,28153,5522,etah,88.0319994,77.89130485
Pigeonpea,0.039999999,0.029999999,0.0040000002,199,2017,12,uttar pradesh,61248,18465,3575,bareilly,165.2480018,12.03570477
Pigeonpea,0.31,0.25,0.093000002,200,2017,12,uttar pradesh,70074,24426,4650,budaun,130.9540022,29.65036509
Pigeonpea,0.81,0.60000002,0.154,201,2017,12,uttar pradesh,77372,21815,4821,moradabad,179.42000000000002,0
Pigeonpea,0.31,0.28,0.31,202,2017,12,uttar pradesh,109135,34321,7757,shahjahanpur,158.2719998008,11.61206617
Pigeonpea,NA,NA,NA,203,2017,12,uttar pradesh,43952,12733,3917,pilibhit,198.3740006,2.866361171
Pigeonpea,NA,NA,NA,204,2017,12,uttar pradesh,26893,5349,1051,rampur,171.4759996,10.53140097
Pigeonpea,NA,NA,NA,205,2017,12,uttar pradesh,42398,14381,3426,bijnor,122.3579962,3.088438948
Pigeonpea,2.52,3.28,1.47,206,2017,12,uttar pradesh,97642,27112,10933,farrukhabad,126.05,30.89250522
Pigeonpea,5.3200002,9.6099997,0.44100001,207,2017,12,uttar pradesh,67862,27997,2552,etawah,90.1720002,24.0614579
Pigeonpea,12.86,29.030001,0.68000001,208,2017,12,uttar pradesh,124649,45131,7720,kanpur,NA,NA
Pigeonpea,17.469999,20.49,0.99599999,209,2017,12,uttar pradesh,49651,20660,2863,fatehpur,146.77599824,38.81640261
Pigeonpea,23.34,42.259998,0.51200002,210,2017,12,uttar pradesh,108387,39828,13191,allahabad,NA,NA
Pigeonpea,0.81999999,0.54000002,0,211,2017,12,uttar pradesh,66983,48399,2534,jhansi,93.5639984,0.582606933
Pigeonpea,3.3900001,5.8400002,0.018999999,213,2017,12,uttar pradesh,34091,17988,1110,jalaun,85.7319998,2.210888043
Pigeonpea,18.27,18.09,0,214,2017,12,uttar pradesh,33248,20580,1666,hamirpur,86.8080018,1.945764281
Pigeonpea,33.860001,48.84,0.064999998,215,2017,12,uttar pradesh,31565,19178,2047,banda,145.92000282,31.38010403
Pigeonpea,11.08,14.09,0.071999997,216,2017,12,uttar pradesh,87883,26904,4706,varanasi,144.740000604,66.12474406
Pigeonpea,7.3000002,5.0900002,0.13600001,218,2017,12,uttar pradesh,48177,17780,2322,jaunpur,156.512,74.5943704
Pigeonpea,5.3899999,6.8400002,0.079000004,219,2017,12,uttar pradesh,47591,18207,2463,ghazipur,140.3799994,35.3579145
Pigeonpea,6.6999998,7.8499999,0.18700001,220,2017,12,uttar pradesh,35302,15283,2455,ballia,145.73400236,8.71385202
Pigeonpea,3.3299999,1.8,0.086999997,221,2017,12,uttar pradesh,111370,33124,9619,gorakhpur,195.29400004,46.83190458
Pigeonpea,5.3499999,2.8900001,0.26800001,222,2017,12,uttar pradesh,62812,23174,5327,deoria,170.04400198,8.073508156
Pigeonpea,8.3199997,5.9099998,0.34099999,223,2017,12,uttar pradesh,88716,31875,7716,basti,177.62599799999998,8.208008697
Pigeonpea,6.9400001,5.96,0.33000001,224,2017,12,uttar pradesh,79550,30817,4398,azamgarh,185.6200022,71.83476231
Pigeonpea,0.75,0.88,0,225,2017,12,uttar pradesh,21074,9715,622,lucknow,146.58600078,91.83590103
Pigeonpea,2.45,2.8800001,0.064000003,226,2017,12,uttar pradesh,41140,16272,1593,unnao,121.9880026,84.79127544
Pigeonpea,6.73,5.5700002,0.12899999,227,2017,12,uttar pradesh,75823,30469,3511,rae-bareily,NA,NA
Pigeonpea,2.8699999,6.3099999,0.252,228,2017,12,uttar pradesh,88206,32282,7455,sitapur,165.54999877999998,45.14381337
Pigeonpea,1.62,1.91,0.018999999,229,2017,12,uttar pradesh,94914,35036,2807,hardoi,130.025999,25.28892102
Pigeonpea,0.87,1.02,0.176,230,2017,12,uttar pradesh,45798,15564,4193,kheri,207.45665858,14.0000795
Pigeonpea,4.5500002,3.45,0.324,231,2017,12,uttar pradesh,62705,23442,4158,faizabad,NA,NA
Pigeonpea,14.61,10.75,0.391,232,2017,12,uttar pradesh,60511,21845,5206,gonda,164.465998,0.79923882
Pigeonpea,5.3000002,3.53,0.134,233,2017,12,uttar pradesh,76222,28989,12216,bahraich,174.9880022,0
Pigeonpea,7.3099999,5.54,0.028000001,234,2017,12,uttar pradesh,50043,20285,2169,sultanpur,122.134,57.49787596
Pigeonpea,6.0999999,5.1799998,0.222,235,2017,12,uttar pradesh,28992,11866,4210,pratapgarh,136.840003,45.41164744
Pigeonpea,1.9299999,1.46,0.067000002,236,2017,12,uttar pradesh,57527,17469,2933,barabanki,150.32000182000002,44.39473326
Pigeonpea,NA,NA,NA,237,2017,16,uttarakhand,117390,15316,6314,nainital,215.013994,10.50496733
Pigeonpea,0.1,0.050000001,0,238,2017,16,uttarakhand,428,112,36,almorah,NA,NA
Pigeonpea,0.029999999,0.0099999998,0,239,2017,16,uttarakhand,475,127,43,pithorgarh,NA,NA
Pigeonpea,0.37,0.28999999,0,240,2017,16,uttarakhand,86,45,2,chamoli,170.34600200079998,0.127974096
Pigeonpea,0.44999999,0.41,0,241,2017,16,uttarakhand,137,149,33,uttar kashi,160.9479999998,0
Pigeonpea,1.54,1.75,0,242,2017,16,uttarakhand,75,33,2,tehri garhwal,207.869998,1.340415995
Pigeonpea,0.67000002,0.52999997,0,243,2017,16,uttarakhand,374,103,6,garhwal,NA,NA
Pigeonpea,0.31,0.27000001,0,244,2017,16,uttarakhand,3319,887,99,dehradun,229.258002,7.676887549
Pigeonpea,0.25999999,0.16,0,601,2017,17,assam,18845,6022,5409,cachar,509.721294,0
Pigeonpea,1.03,0.92000002,0,602,2017,17,assam,17159,5484,4925,darrang,197.176195,0
Pigeonpea,0.14,0.090000004,0,603,2017,17,assam,15212,4861,4367,dibrugarh,287.593998,0
Pigeonpea,1.1,0.89999998,0,604,2017,17,assam,30285,9638,8693,goalpara,430.12399800000003,0
Pigeonpea,0.68000001,0.69999999,0.078000002,605,2017,17,assam,27341,8737,7849,kamrup,277.94737,0.007592246
Pigeonpea,1.09,0.86000001,0,606,2017,17,assam,3226,1031,926,karbi anglong,NA,0
Pigeonpea,0.07,0.059999999,0,607,2017,17,assam,10347,3306,2966,lakhimpur,399.496768,0.421320792
Pigeonpea,0.55000001,0.46000001,0,609,2017,17,assam,15521,4960,4456,nagaon,222.210002,0
Pigeonpea,NA,NA,NA,626,2017,18,himachal pradesh,1915,107,45,bilashpur,NA,NA
Pigeonpea,NA,NA,NA,627,2017,18,himachal pradesh,1134,88,63,chamba,137.1840002,0
Pigeonpea,NA,NA,NA,629,2017,18,himachal pradesh,14180,2766,1409,kangra,238.060004,0.251895137
Pigeonpea,NA,NA,NA,630,2017,18,himachal pradesh,111,64,89,kinnaur,78.4819998,0
Pigeonpea,NA,NA,NA,631,2017,18,himachal pradesh,2786,1384,1882,kullu,144.2779987998,1.105313459
Pigeonpea,NA,NA,NA,632,2017,18,himachal pradesh,182,183,109,lahul & spiti,NA,NA
Pigeonpea,NA,NA,NA,633,2017,18,himachal pradesh,2429,474,253,solan,124.9479994,0.982709001
Pigeonpea,NA,NA,NA,634,2017,18,himachal pradesh,4378,1152,892,mandi,197.08599959999998,1.919423925
Pigeonpea,0.02,0.0099999998,0,635,2017,18,himachal pradesh,6111,2888,6051,shimla,113.560002,1.735352711
Pigeonpea,0.0099999998,0.0099999998,0,636,2017,18,himachal pradesh,3375,665,387,sirmaur,150.616,0.248091983
Pigeonpea,NA,NA,NA,651,2017,19,kerala,9747,2587,2629,alappuzha,179.193998,0
Pigeonpea,NA,NA,NA,652,2017,19,kerala,11783,4305,7718,kannur,186.04199839999998,0
Pigeonpea,NA,NA,NA,655,2017,19,kerala,25706,9087,12772,kottayam,138.4620018,0
Pigeonpea,NA,NA,NA,656,2017,19,kerala,9488,3722,7182,kozhikode,96.7299994,0
Pigeonpea,NA,NA,NA,657,2017,19,kerala,9128,3381,5504,malappuram,78.9759994,0
Pigeonpea,0.20999999,0.31999999,0,658,2017,19,kerala,28176,5271,6717,palakkad,122.2560002,0
Pigeonpea,NA,NA,NA,659,2017,19,kerala,6507,3559,4216,kollam,176.8000024,0
Pigeonpea,NA,NA,NA,660,2017,19,kerala,12512,3057,4532,thrissur,157.98399560000001,0
Pigeonpea,NA,NA,NA,661,2017,19,kerala,6500,1439,809,thiruvananthapuram,148.816004,0
Pigeonpea,1.63,2.96,0,901,2017,2,bihar,125927,46593,20330,champaran,NA,NA
Pigeonpea,1.1799999,2.8800001,0.34999999,902,2017,2,bihar,109463,43421,21188,muzaffarpur,128.8420002,32.96913214
Pigeonpea,1.1799999,1.15,0.050000001,903,2017,2,bihar,79877,31528,13340,darbhanga,202.7119974,0.001554714
Pigeonpea,0.029999999,0.050000001,0,904,2017,2,bihar,44082,18294,11692,saharsa,179.0360046,4.42241708
Pigeonpea,1.95,2.8900001,0,906,2017,2,bihar,65685,16211,3535,saran,71.968000404,36.82237186
Pigeonpea,1.15,2.49,0.12,907,2017,2,bihar,90899,24771,4278,patna,104.3999996,7.589995311
Pigeonpea,3.8299999,4.0100002,0,908,2017,2,bihar,125661,42562,21130,mungair,NA,NA
Pigeonpea,1.3200001,1.7,0,909,2017,2,bihar,60780,19306,11211,bhagalpur,157.78799800000002,2.950756596
Pigeonpea,40.549999,28.610001,0,910,2017,15,jharkhand,29186,28287,7303,santhal paragana / dumka,NA,NA
Pigeonpea,2.9400001,3.8699999,0,911,2017,2,bihar,162928,50799,7932,shahabad (now part of bhojpur district),NA,NA
Pigeonpea,3.1300001,2.8699999,0.13,912,2017,2,bihar,99317,30221,4369,gaya,119.74399782,1.25790507
Pigeonpea,41.75,47.549999,0.022,913,2017,15,jharkhand,15376,11091,1486,hazaribagh,252.012004,0
Pigeonpea,5.3699999,5.23,0,914,2017,15,jharkhand,427,297,82,dhanbad,220.674004,0
Pigeonpea,74.379997,74.389999,0.001,915,2017,15,jharkhand,16063,8959,1702,palamau,NA,NA
Pigeonpea,54.669998,66.5,0.0020000001,916,2017,15,jharkhand,28893,20374,3949,ranchi,255.1100016,0
Pigeonpea,28.379999,34.57,0,917,2017,15,jharkhand,2588,1600,122,singhbhum,NA,NA
